Pos,Bib No,Name,Time,Gender,Gen Pos,Country,Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,2148,Causse Guillaume,02:45:26,Male,1,France,02:45:18,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187783,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
1,2183,Nicholas Mateos Garrindo,02:45:26,Male,1,Spain,02:45:19,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187818,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
3,2002,Matty Abel,02:54:46,Male,3,Australia,02:54:37,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187637,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
4,2005,Sungyong Um,03:35:05,Male,4,Korea,03:34:58,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187640,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
5,2001,Yoshi Kondo,03:42:11,Male,5,Japan,03:41:59,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187636,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
6,2096,Nee Sern Khoo,03:42:23,Male,6,Malaysia,03:41:56,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187731,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
7,2062,Yohan Peyrani,03:42:59,Male,7,Singapore,03:42:42,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187697,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
8,2010,Freddy Mira,03:43:42,Male,8,France,03:43:12,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187645,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
9,2004,Jerry Lee,03:44:00,Male,9,Taiwan,03:43:37,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187639,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
10,2050,Danny Bond,03:47:16,Male,10,Netherlands,03:46:58,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187685,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
11,2008,Morgan Manin,03:57:58,Male,11,France,03:57:50,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187643,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
