Pos,Race No,Name,Time,Net Time,Runner 1,Transition1,Runner 2,Transition2,Runner 3,Transition3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
51,370,SANGO TEAM 2,00:50:20,00:49:19,00:13:14,00:00:40,00:11:17,00:00:32,00:13:31,00:00:29,00:10:33,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10053,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
52,188,SUZUKI IGNIS,00:50:27,00:49:41,00:10:09,00:00:27,00:13:28,00:00:38,00:13:23,00:00:25,00:11:54,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9871,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
53,77,FERMENTECH,00:50:42,00:49:53,00:11:16,00:00:34,00:12:26,00:00:40,00:13:11,00:00:33,00:11:59,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9760,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
54,182,FURUKAWA BATTERY 1,00:50:48,00:50:10,00:14:40,00:00:50,00:12:12,00:00:32,00:11:22,00:00:30,00:10:38,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9865,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
55,406,KTB 01,00:51:05,00:50:10,00:12:02,00:00:37,00:11:14,00:00:33,00:11:26,00:00:35,00:14:35,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10089,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
56,340,KAWAI PIANOS 3,00:51:07,00:50:31,00:12:18,00:00:38,00:11:31,00:00:32,00:12:33,00:00:27,00:13:06,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10023,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
57,193,JAKARTA MOUKOKAI,00:51:18,00:50:41,00:10:50,00:00:32,00:11:58,00:00:29,00:14:07,00:00:27,00:12:52,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9876,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
58,287,MMKI 16,00:51:21,00:50:34,00:12:35,00:00:38,00:12:21,00:00:34,00:12:45,00:00:21,00:12:04,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9970,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
59,400,SHINTO KOGYO,00:51:33,00:50:59,00:11:46,00:00:36,00:11:26,00:00:33,00:15:02,00:00:21,00:11:46,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10083,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
60,291,EOJ CONSULS,00:51:34,00:50:45,00:12:22,00:00:39,00:11:47,00:00:47,00:14:04,00:00:28,00:11:24,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9974,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
