Pos,Race No,Name,Time,Net Time,Runner 1,Transition1,Runner 2,Transition2,Runner 3,Transition3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
301,63,CHIYODA SAE 09,01:09:42,01:09:03,00:13:50,00:01:33,00:18:06,00:00:45,00:14:45,00:00:29,00:20:12,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9746,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
302,243,TMEIC 03,01:09:46,01:09:10,00:20:08,00:00:54,00:17:22,00:00:38,00:15:35,00:00:25,00:14:41,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9926,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
303,26,SF07,01:09:47,01:08:57,00:15:09,00:00:41,00:20:03,00:00:41,00:20:17,00:00:31,00:12:22,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9709,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
304,62,CHIYODA SAE 08,01:09:59,01:09:20,00:12:52,00:00:44,00:16:42,00:00:50,00:20:14,00:00:38,00:17:56,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9745,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
305,379,TEAM AWESOME,01:10:03,01:08:57,00:14:20,00:00:37,00:15:36,00:00:37,00:18:00,00:00:36,00:20:15,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10062,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
306,61,CHIYODA SAE 07,01:10:06,01:09:26,00:12:04,00:00:37,00:14:12,00:00:41,00:20:51,00:00:34,00:21:05,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9744,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
307,147,YOSHIMOTO 3,01:10:15,01:10:15,00:18:15,00:00:47,00:17:31,00:00:37,00:20:21,00:00:26,00:12:14,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9830,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
308,20,OTSUKA 9,01:10:23,01:09:46,00:14:06,00:00:43,00:17:34,00:00:40,00:16:35,00:00:41,00:20:01,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9703,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
309,180,FURUKAWA BATTERY 2,01:10:26,01:09:47,00:14:08,00:00:44,00:19:13,00:00:41,00:15:13,00:00:38,00:19:47,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9863,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
310,64,CHIYODA SAE 10,01:10:28,01:09:50,00:14:29,00:00:47,00:18:38,00:00:43,00:15:04,00:00:35,00:20:10,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9747,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
311,126,TAISEI 1,01:10:35,01:09:35,00:12:05,00:00:37,00:18:11,00:00:38,00:19:24,00:00:32,00:19:04,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9809,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
312,135,SENAYAN SQUARE 2,01:10:36,01:09:28,00:21:31,00:00:57,00:16:10,00:00:46,00:15:26,00:00:42,00:15:00,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9818,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
313,49,ANA 5,01:10:39,01:09:58,00:18:52,00:00:46,00:19:01,00:00:41,00:18:56,00:00:25,00:11:54,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9732,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
314,227,PT NIPPON EXPRESS INDONESIA CBT,01:10:41,01:09:37,00:12:50,00:00:41,00:23:32,00:00:32,00:15:09,00:00:27,00:17:26,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9910,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
315,23,SF03,01:10:43,01:09:36,00:13:17,00:00:50,00:10:06,00:00:31,00:20:10,00:00:35,00:25:11,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9706,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
316,233,MARUBENI 6,01:10:50,01:10:06,00:11:58,00:00:44,00:16:42,00:01:11,00:19:12,00:00:38,00:20:23,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9916,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
317,30,SF12,01:10:50,01:10:06,00:15:25,00:00:44,00:16:27,00:00:39,00:19:33,00:00:31,00:17:29,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9713,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
318,202,NTN BEARING 4,01:11:03,01:10:08,00:17:40,00:00:42,00:14:12,00:00:43,00:17:08,00:00:34,00:20:01,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9885,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
319,327,ERIA3,01:11:05,01:10:00,00:17:58,00:00:49,00:19:39,00:00:53,00:17:34,00:00:32,00:13:39,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10010,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
