Pos,Bib No,Name,Time,Gender,Gen Pos,Country,Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,9,Rachmat Septiyanto,15:29:27,Male,1,Indonesia,15:29:19,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,100K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-1-187458,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
2,2,Yuta Matsuyama,16:30:47,Male,2,Japan,16:30:47,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,100K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-1-187451,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
3,12,Shindy Patricia,16:49:00,Female,1,Indonesia,16:19:00,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,100K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-1-187461,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
4,13,Duong Nguyen Thi,17:15:00,Female,2,Vietnam,17:15:00,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,100K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-1-187462,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
5,35,Takeshi Hashimoto,18:22:53,Male,3,Japan,18:22:53,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,100K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-1-187484,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
6,8,Tomomi Bitoh,18:54:26,Female,3,Japan,18:24:26,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,100K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-1-187457,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
7,20,De Nguyen,19:42:07,Male,4,Vietnam,19:42:00,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,100K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-1-187469,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
8,33,Trung Hau Phan,19:49:23,Male,5,Vietnam,19:49:17,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,100K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-1-187482,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
9,44,Washington Firmeza,20:19:35,Male,6,Australia,20:19:35,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,100K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-1-187493,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
10,37,Kerry Riddell,20:45:04,Female,4,England,20:45:01,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,100K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-1-187486,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
