Pos,Bib No,Name,Category,Cat Pos,Gender,race_name,race_large_logo,race_category,runner_id,race_link
,244,Muammar Amar,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161508,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,249,Al Ibrahim,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161513,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,255,Bonny Soekardi,Overall,,Female,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161519,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,256,Robby Soekardi,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161520,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,257,Rudi Saepuloh,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161521,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,258,Amas Ismanto,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161522,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,287,Rspc Official,Overall,,Female,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161551,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,298,Andri Louw,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161562,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,317,Lim Willisan,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161581,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,327,Nusron Mukhlisin,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161591,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,328,Subektiyo Legowo,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161592,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,336,Reynald Saputra,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161600,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
