Pos,Race No,Name,Time,Net Time,Runner 1,Transition1,Runner 2,Transition2,Runner 3,Transition3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
266,322,TAKENAKA5,01:06:59,01:06:01,00:14:09,00:00:41,00:16:18,00:00:33,00:18:02,00:00:28,00:16:44,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10005,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
267,301,TEAM ITOCHU D,01:07:04,01:06:16,00:20:00,00:00:42,00:16:32,00:00:37,00:13:34,00:00:31,00:15:06,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9984,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
268,55,CHIYODA SAE 01,01:07:06,01:06:26,00:11:37,00:00:34,00:14:11,00:00:38,00:19:00,00:00:32,00:20:31,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9738,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
269,94,PANASONIC BEAUTY,01:07:11,01:06:10,00:14:57,00:00:54,00:14:45,00:00:43,00:18:37,00:00:36,00:16:36,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9777,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
270,16,OTSUKA 5,01:07:17,01:06:39,00:14:27,00:00:47,00:17:01,00:00:34,00:16:35,00:00:30,00:17:20,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9699,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
271,59,CHIYODA SAE 05,01:07:22,01:06:43,00:12:12,00:00:33,00:17:06,00:00:45,00:18:02,00:00:34,00:18:08,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9742,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
272,132,KURONEKO3,01:07:31,01:06:54,00:16:21,00:00:33,00:14:28,00:00:31,00:15:37,00:00:31,00:19:27,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9815,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
273,112,SHIMIZU10,01:07:47,01:06:59,00:11:50,00:00:39,00:17:44,00:00:46,00:19:26,00:00:27,00:16:53,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9795,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
274,390,ZEN,01:07:50,01:07:11,00:13:13,00:00:47,00:17:37,00:00:38,00:16:12,00:00:27,00:18:53,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10073,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
275,134,SENAYAN SQUARE 1,01:07:51,01:06:49,00:13:41,00:00:43,00:21:00,00:00:51,00:14:03,00:00:32,00:16:57,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9817,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
276,131,KURONEKO2,01:08:01,01:07:24,00:12:28,00:00:39,00:18:24,00:00:39,00:13:41,00:00:39,00:21:27,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9814,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
277,319,HASBRIGHT,01:08:14,01:07:17,00:18:12,00:00:49,00:19:40,00:00:44,00:12:45,00:00:36,00:15:25,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10002,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
278,101,PESGMFID,01:08:15,01:07:20,00:12:38,00:00:37,00:20:00,00:00:37,00:17:45,00:00:35,00:15:59,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9784,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
279,290,MMKI 15,01:08:23,01:07:41,00:24:55,00:00:48,00:10:35,00:00:33,00:19:51,00:00:32,00:11:06,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9973,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
280,210,BALIMOR3,01:08:25,01:07:38,00:14:08,00:01:13,00:15:56,00:00:41,00:23:36,00:00:27,00:12:20,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9893,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
281,70,MITSUBISHI CORPORATION 5,01:08:28,01:07:20,00:16:17,00:00:40,00:13:27,00:00:40,00:18:37,00:00:43,00:18:03,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9753,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
282,25,SF05,01:08:30,01:07:44,00:12:14,00:01:41,00:19:44,00:00:32,00:21:33,00:00:31,00:12:12,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9708,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
283,146,YOSHIMOTO 2,01:08:30,01:08:30,00:16:42,00:00:48,00:16:03,00:00:44,00:17:56,00:00:30,00:15:43,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9829,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
