Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
22,21,STEPHEN TANUDJAJA,07:18:06,ALL AGES,19,Male,19,Indonesia,01:03:58,03:11:51,02:51:14,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45697,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
23,18,RINALDI DEWANANTA,07:23:51,ALL AGES,20,Male,20,Indonesia,00:53:02,03:00:22,03:20:59,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45694,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
24,39,RIYO HANGGORO PRASETYO,07:33:09,ALL AGES,21,Male,21,Indonesia,01:03:46,03:10:57,03:06:57,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45715,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
25,28,MULYADI BUDIYANTO,07:45:25,ALL AGES,22,Male,22,Indonesia,00:58:42,03:22:16,03:05:17,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45704,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
26,37,ELLIANAH SETIADY,07:48:35,ALL AGES,4,Female,4,Indonesia,00:56:14,03:14:01,03:27:29,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45713,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
27,16,ADI MULYADI,07:56:40,ALL AGES,23,Male,23,Indonesia,00:59:29,03:19:12,03:28:14,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45692,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
28,13,JEREMY SEBASTIAN,08:03:49,ALL AGES,24,Male,24,Indonesia,01:00:38,03:12:15,03:34:26,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45689,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
29,25,AJI RACHMAN,08:08:15,ALL AGES,25,Male,25,Indonesia,01:06:43,03:36:35,03:06:18,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45701,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
30,7,ROBEN DHARMADI DJAFAR,08:11:09,ALL AGES,26,Male,26,Indonesia,00:56:28,03:21:34,03:27:23,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45683,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
31,5,NOVEL ENDRIK,08:16:55,ALL AGES,27,Male,27,Indonesia,01:09:16,04:01:18,02:55:04,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45681,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
32,22,RAJA SAPTA OKTOHARI,08:23:26,ALL AGES,28,Male,28,Indonesia,01:04:58,03:28:41,03:26:57,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45698,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
33,23,AGUS PARANRENGI,08:23:48,ALL AGES,29,Male,29,Indonesia,00:54:25,03:28:12,03:27:19,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Long Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-1-45699,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
