Pos,Bib No,Name,Time,Gender,Gen Pos,Country,Finish,race_name,race_large_logo,race_category,runner_id,race_link
51,2020,Fariz Atraz Fauzi,05:26:36,Male,36,Malaysia,05:26:20,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187655,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
52,2046,Andre Sugiarto,05:27:09,Male,37,Indonesia,05:26:01,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187681,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
53,2027,Cindy Poon,05:28:47,Female,16,Singapore,05:28:17,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187662,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
54,2164,Cylas Wilson,05:29:29,Male,38,Australia,05:29:09,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187799,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
55,2011,Damien Wilson,05:29:30,Male,39,Australia,05:29:09,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187646,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
56,2187,Mohd Hafiz Syane,05:31:01,Male,40,Singapore,05:30:38,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187822,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
57,2123,Quoi Tuong Duong,05:33:33,Male,41,Vietnam,05:33:28,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187758,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
58,2109,THI THUAN TRAN,05:33:46,Female,17,Australia,05:33:41,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187744,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
59,2112,Van Hien Le,05:45:34,Male,42,Vietnam,05:45:24,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187747,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
60,2037,Rainul Mohd Enarji,05:45:39,Male,43,Malaysia,05:45:18,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187672,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
61,2081,Mohd Saiful Nizam Bin Roslan,05:45:39,Male,44,Malaysia,05:45:19,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187716,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
62,2038,Dhanar Trienggar,05:51:06,Male,45,Indonesia,05:50:45,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187673,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
