Pos,Race No,Name,Net Time,Category,Cat Pos,Gender,Gen Pos,Finished,race_name,race_large_logo,race_category,runner_id,race_link
101,1089,Ricky Jacob Silaen,03:17:23,All Ages,75,Male,75,00:36:02,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136662,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
102,1017,Kukuh Kuntjoro,03:19:17,All Ages,76,Male,76,00:35:41,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136590,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
103,1060,Novita Santoso,03:21:42,All Ages,27,Female,27,00:32:44,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136633,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
104,1030,Antonius S Antara,03:23:26,All Ages,77,Male,77,00:47:11,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136603,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
105,1087,Yustina Ernawati,03:24:57,All Ages,28,Female,28,00:36:48,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136660,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
106,1011,Bobby Hamzar Rafinus,03:29:17,All Ages,78,Male,78,00:41:37,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136584,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
107,1104,Dheny Rahardian,03:30:39,All Ages,79,Male,79,00:42:39,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136677,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
108,1101,Ganes Aji Laksono,03:31:31,All Ages,80,Male,80,00:46:43,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136674,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
109,1116,Mohammad Nugroho,03:35:06,All Ages,81,Male,81,00:48:47,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136689,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
110,1042,Munin Widardjo,03:35:33,All Ages,82,Male,82,00:40:57,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136615,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
111,1077,Bondan Muliasan,03:35:45,All Ages,83,Male,83,00:39:29,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136650,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
112,1129,Adi Prinantyo,03:37:39,All Ages,84,Male,84,00:41:00,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136702,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
