Pos,Bib No,Name,Category,Cat Pos,Gender,race_name,race_large_logo,race_category,runner_id,race_link
,101,Hengky Setiawan,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161365,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,102,Yosep Yosep,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161366,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,107,Harry Y,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161371,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,116,Prasetya Hardiansyah Tjen,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161380,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,120,David Wahyu Hidayat,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161384,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,123,Vicka Levia Simadibrata,Overall,,Female,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161387,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,134,Tono Tomato,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161398,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,136,Bima Negara,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161400,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,137,Elisa Yopitasari,Overall,,Female,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161401,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,138,Rico Jayanto,Overall,,Male,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-3-161402,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
