Pos,Race No,Name,Time,Gender,Gen Pos,"CP 1 - KM 2,8",CP 2 - KM 6.3,"CP 3 - KM 8,8",CP 4 - KM 12,Finish,race_name,race_large_logo,race_category,runner_id,race_link
51,21027,Juwitha Wong,02:09:17,Female,5,00:16:54,00:21:01,00:14:57,00:19:33,00:56:51,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184508,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
52,21041,Lipin King,02:09:17,Male,34,00:16:50,00:21:04,00:14:54,00:19:37,00:56:47,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184522,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
53,21014,Mirza Fahlevi,02:09:29,Male,35,00:16:52,00:21:57,00:15:23,00:19:57,00:55:08,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184495,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
54,21083,Romi Afriyadi,02:09:39,Male,36,00:18:15,00:22:57,00:15:25,00:19:46,00:53:14,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184564,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
55,21082,Sopian Hadi,02:09:39,Male,37,00:18:13,00:23:00,00:15:25,00:19:45,00:53:15,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184563,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
56,21031,Enestasia Angelika,02:10:01,Female,6,00:17:21,00:21:41,00:14:53,00:19:27,00:56:32,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184512,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
57,21085,Kevin Ariyanto,02:10:32,Male,38,00:18:13,00:22:57,00:15:25,00:19:45,00:54:08,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184566,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
58,21007,Aliftama Wicaksono,02:11:24,Male,39,00:17:01,00:21:58,00:15:26,00:19:55,00:57:01,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184488,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
59,21087,Muhamad Iqbal Fauzan Arif,02:11:50,Male,40,00:17:22,00:22:15,00:15:43,00:19:56,00:56:27,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184568,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
60,21034,Dadang Sutami,02:12:39,Male,41,00:16:56,00:21:12,00:14:45,00:19:21,01:00:19,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184515,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
61,21028,Fernando Nainggolan,02:12:40,Male,42,00:16:55,00:21:27,00:14:42,00:19:26,01:00:02,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184509,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
62,21095,Hikmat Slamet,02:13:45,Male,43,00:17:04,00:22:29,00:15:46,00:20:08,00:58:10,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184576,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
63,21040,Surahman Ihok,02:14:00,Male,44,00:17:31,00:21:59,00:15:08,00:19:50,00:59:27,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184521,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
64,21086,Rino Kuswanto,02:14:06,Male,45,00:17:48,00:22:04,00:15:53,00:19:49,00:58:28,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-1-184567,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
