Pos,Bib No,Name,Time,Gender,Gen Pos,Country,Finish,race_name,race_large_logo,race_category,runner_id,race_link
101,2047,Sakti Parantean,07:06:16,Male,72,Indonesia,07:05:52,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187682,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
102,2177,Fajar Shen,07:14:51,Male,73,Indonesia,07:14:25,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187812,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
103,2171,Marck Van Litsenburg,07:17:24,Male,74,Netherlands,07:17:02,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187806,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
104,2165,Tijs Van Litsenburg,07:17:26,Male,75,Netherlands,07:17:04,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187800,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
105,2065,Tien Diep Nguyen,07:18:14,Male,76,Vietnam,07:17:20,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187700,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
106,2184,Thuy Duong Nguyen,07:19:04,Female,30,Vietnam,07:18:03,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187819,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
107,2110,Thi Quynh Thu Le,07:20:37,Female,31,Vietnam,07:20:17,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187745,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
108,2111,Thanh Hien Vu,07:21:01,Female,32,Vietnam,07:20:42,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187746,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
109,2108,Thi Le Thuy Nguyen,07:21:38,Female,33,Vietnam,07:21:37,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187743,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
110,2140,Duy Thao Nguyen Tran,07:23:30,Female,34,Vietnam,07:23:09,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187775,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
111,2141,Ha Dinh,07:23:36,Female,35,Vietnam,07:23:17,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187776,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
112,2076,Harry Akbar Sutiono,07:24:04,Male,77,Indonesia,07:22:44,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,25K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-3-187711,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
