Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
1,519,ANDI GUMILANG,01:19:33,Top 3 Overall Male,1,Male,1,Indonesia,00:11:37,00:44:39,00:19:48,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-3-45960,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
2,520,HARI ROHMAN,01:23:31,Top 3 Overall Male,2,Male,2,Indonesia,00:17:22,00:44:07,00:18:11,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-3-45961,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
3,688,JAMIN JOHAN,01:24:35,Top 3 Overall Male,3,Male,3,Indonesia,00:13:34,00:44:00,00:23:45,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-3-46129,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
4,684,GILBERT SUNG,01:26:40,L (MALE 16-31),1,Male,4,Indonesia,00:12:39,00:48:32,00:20:54,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-3-46125,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
5,697,ALI MUKHSININ,01:27:01,L (MALE 16-31),2,Male,5,Indonesia,00:15:48,00:45:05,00:21:00,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-3-46138,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
6,501,ABDUR ROHMAN,01:27:52,L (MALE 16-31),3,Male,6,Indonesia,00:13:32,00:46:58,00:23:08,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-3-45942,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
7,521,FEBRAM YULKHAIRIL,01:28:28,L (MALE 16-31),4,Male,7,Indonesia,00:18:27,00:47:29,00:18:27,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-3-45962,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
8,698,RUDIANTO TAKAREDASE,01:28:41,N (MALE 32-37),1,Male,8,Indonesia,00:16:16,00:46:34,00:21:28,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-3-46139,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
9,700,HENDRA SAPUTRA,01:31:31,N (MALE 32-37),2,Male,9,Indonesia,00:16:42,00:45:32,00:24:07,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-3-46141,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
10,615,DEDY BUNYAMIN,01:31:40,S (MALE 44-49),1,Male,10,Indonesia,00:16:49,00:46:14,00:23:52,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-3-46056,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
11,644,ASIHTA AULIA AZZAHRA,01:32:24,Top 3 Overall Female,1,Female,1,Indonesia,00:13:44,00:48:39,00:25:36,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-3-46085,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
12,607,TJEN ANTONIO CHANDRA,01:33:46,S (MALE 44-49),2,Male,11,Indonesia,00:15:45,00:45:01,00:27:43,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-3-46048,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
