Pos,Bib No,Name,Time,Gender,Gen Pos,Country,Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,1108,Sam Wood,01:08:46,Male,1,Indonesia,01:08:44,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187931,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
2,1038,Satu Maaria Sarkila,01:12:50,Female,1,Finland,01:12:47,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187861,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
3,1120,Khaider Ali,01:14:30,Male,2,Indonesia,01:14:27,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187943,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
4,1088,MIKE MULLER,01:17:55,Male,3,Switzerland,01:17:51,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187911,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
5,1105,An Qi Lim,01:20:36,Female,2,Singapore,01:20:30,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187928,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
6,1067,Craig Hall,01:23:32,Male,4,United States,01:23:24,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187890,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
7,1072,Joshua Dunham,01:23:33,Male,5,United States,01:23:24,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187895,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
8,1078,Jerome Bellot,01:26:18,Male,6,France,01:26:07,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187901,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
9,1075,Paul Davis,01:29:06,Male,7,Australia,01:28:54,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187898,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
10,1074,Tony Parry,01:29:06,Male,8,Australia,01:29:01,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187897,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
11,1117,Djerville Juhro,01:29:12,Male,9,Singapore,01:28:59,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187940,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
12,1118,DEBBY HUSMAN,01:29:14,Female,3,Singapore,01:29:02,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187941,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
13,1087,Corinne Stucki,01:29:38,Female,4,Switzerland,01:29:33,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187910,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
14,1069,Jason Marc Campbell,01:30:25,Male,10,Canada,01:30:19,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187892,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
15,1070,Anastasiia Seledkova,01:30:26,Female,5,Russia,01:30:20,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187893,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
16,1037,Arif Yunianto,01:33:40,Male,11,Indonesia,01:33:38,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187860,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
17,1096,Charlie Frankline,01:34:23,Male,12,Indonesia,01:34:14,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187919,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
18,1043,Laura Dagoneau Landry,01:36:27,Female,6,France,01:36:22,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187866,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
19,1027,I Made Citayasa,01:39:16,Male,13,Indonesia,01:38:58,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187850,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
20,1018,Darryl Ross,01:39:16,Male,14,Australia,01:39:04,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187841,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
21,1082,Maxence Nesme,01:39:43,Male,15,Indonesia,01:39:25,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187905,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
22,1076,Kenneth J Sauer Iii,01:39:54,Male,16,United States,01:39:46,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187899,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
23,1005,Michaella Lukmanto,01:40:06,Female,7,Indonesia,01:40:04,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187828,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
24,1095,Abdel Benjelloun,01:43:36,Male,17,France,01:43:25,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187918,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
25,1077,I Wayan Yusmita,01:45:38,Male,18,Indonesia,01:45:35,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187900,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
26,1094,Rohil Jethmalani,01:47:11,Male,19,India,01:46:58,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187917,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
27,1032,Sergey Feldman,01:49:15,Male,20,Russia,01:49:00,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187855,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
28,1089,Yauheni Dounar,01:50:08,Male,21,Belarus,01:49:51,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187912,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
29,1122,Hazemi Hamidi,01:50:16,Male,22,Malaysia,01:50:03,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187945,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
30,1014,Yanti Low,01:52:49,Female,8,Indonesia,01:52:44,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187837,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
31,1006,Felix Ho,01:54:19,Male,23,Malaysia,01:54:10,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187829,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
32,1106,Safira Amelia,01:54:29,Female,9,Indonesia,01:54:23,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187929,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
33,1079,Jastine Yew,01:55:39,Female,10,Singapore,01:55:31,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187902,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
34,1084,Issantoso Issantoso,01:55:59,Male,24,Indonesia,01:58:46,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-4-187907,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
