Pos,Race No,Name,Time,Net Time,Runner 1,Transition1,Runner 2,Transition2,Runner 3,Transition3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
151,303,SHINTO SMI TEAM 3,00:59:25,00:58:32,00:15:56,00:00:37,00:11:00,00:03:22,00:15:57,00:00:23,00:12:07,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9986,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
152,165,KLINE3,00:59:25,00:58:24,00:12:59,00:00:48,00:13:18,00:00:33,00:17:44,00:00:30,00:13:30,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9848,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
153,164,KLINE2,00:59:41,00:58:39,00:12:58,00:00:46,00:17:38,00:00:36,00:14:18,00:00:25,00:12:57,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9847,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
154,217,THE DAILY JAKARTA SHIMBUN 3,00:59:45,00:59:09,00:14:09,00:00:46,00:14:11,00:00:44,00:13:04,00:00:56,00:15:53,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9900,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
155,359,MSIG TEAM 3,00:59:48,00:59:05,00:14:22,00:00:42,00:11:30,00:00:32,00:17:03,00:00:29,00:15:05,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10042,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
156,91,PANASONIC GOBEL ENERGY WITH BATTERY,00:59:50,00:59:07,00:12:51,00:00:47,00:15:58,00:00:36,00:16:15,00:00:25,00:12:56,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9774,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
157,344,MMF,00:59:51,00:58:52,00:13:53,00:00:41,00:15:34,00:00:36,00:12:42,00:00:33,00:15:49,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10027,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
158,279,SUZUKI GSX R150,00:59:57,00:59:11,00:11:53,00:00:38,00:13:58,00:00:40,00:21:32,00:00:36,00:10:38,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9962,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
159,43,TOKYU LAND HAKA 1,01:00:07,00:59:19,00:15:57,00:00:39,00:16:00,00:00:38,00:14:07,00:00:37,00:12:06,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9726,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
160,338,ICONIC TEAM WHITE,01:00:10,00:59:13,00:14:22,00:00:41,00:13:30,00:00:41,00:11:13,00:01:12,00:18:28,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10021,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
