Pos,Race No,Name,Net Time,Category,Cat Pos,Gender,Gen Pos,Finished,race_name,race_large_logo,race_category,runner_id,race_link
1,1026,Irmansah,01:15:58,All Ages,1,Male,1,00:12:06,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136599,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
2,1020,Muhsen,01:22:02,All Ages,2,Male,2,00:13:49,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136593,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
3,1108,Taufiq Narendra Purnama Putra,01:22:25,All Ages,3,Male,3,00:13:01,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136681,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
4,1065,Bambang Oktovianus,01:23:19,All Ages,4,Male,4,00:14:03,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136638,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
5,1050,Yulianus,01:31:19,All Ages,5,Male,5,00:15:54,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136623,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
6,1069,Welly,01:33:56,All Ages,6,Male,6,00:16:15,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136642,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
7,1031,Dicki Tri Laksono,01:36:03,All Ages,7,Male,7,00:17:00,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136604,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
8,1036,Arif Rachman,01:36:41,All Ages,8,Male,8,00:16:58,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136609,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
9,1123,Andrey Tri Cahyono,01:36:44,All Ages,9,Male,9,00:17:00,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136696,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
10,1142,Peni Dwi Purnomo,01:39:10,All Ages,10,Male,10,00:18:39,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136715,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
11,1121,Slamet,01:43:07,All Ages,11,Male,11,00:18:45,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136694,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
