Pos,Bib No,Name,Time,Gender,Gen Pos,Country,Finish,race_name,race_large_logo,race_category,runner_id,race_link
51,5055,Yanthi Octavia,11:05:24,Female,16,Indonesia,11:05:14,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,50K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-2-187550,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
52,5054,Hung Trinh,11:07:25,Male,36,Vietnam,11:07:07,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,50K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-2-187549,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
53,5044,Abdul Hamid Asnawi,11:07:44,Male,37,Indonesia,11:07:28,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,50K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-2-187539,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
54,5126,Thi Thanh Tam Phung,11:09:31,Female,17,Vietnam,11:09:31,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,50K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-2-187621,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
55,5049,Pham Dang Son,11:10:15,Male,38,Vietnam,11:10:15,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,50K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-2-187544,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
56,5056,Evgenii Mudarisov,11:12:09,Male,39,Russia,11:11:58,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,50K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-2-187551,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
57,5064,Angga Adhiguna,11:12:24,Male,40,Indonesia,11:12:09,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,50K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-2-187559,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
58,5030,Yeok Hun Boh,11:12:53,Female,18,Malaysia,11:12:40,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,50K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-2-187525,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
59,5034,Pierre Emmanuel Loriguet,11:14:43,Male,41,France,11:14:31,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,50K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-2-187529,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
60,5073,Weichen Wu,11:18:02,Male,42,Taiwan,11:17:49,Bali Ultra Trail,https://images.racetec.net/results/racelogo/19723/19723_144.png,50K,http://results.scorenow.co.id/myresults.aspx?uid=19723-144-2-187568,http://results.scorenow.co.id/results.aspx?CId=19723&RId=144
