Pos,Race No,Name,Time,Category,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
1,63,THEO SIRAIT,00:38:01,Youth,Male,1,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,SUPER SPRINT YOUTH,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-1-130019,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
2,58,MUHAMMAD ALDI NAILA SUKMA,00:40:14,Youth,Male,2,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,SUPER SPRINT YOUTH,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-1-130014,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
3,56,M AIDIL ZEIDITO,00:44:42,Youth,Male,3,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,SUPER SPRINT YOUTH,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-1-130012,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
4,60,SHELMA RASENDRIASARI,00:46:15,Youth,Female,1,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,SUPER SPRINT YOUTH,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-1-130016,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
5,52,ZULAIKHAH TASYA NAJIHAH,00:48:44,Youth,Female,2,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,SUPER SPRINT YOUTH,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-1-130008,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
6,51,ZHARFAN QANISH AHDA,00:53:35,Youth,Male,4,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,SUPER SPRINT YOUTH,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-1-130007,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
7,55,SULTHAN RAKHA ANARGYA,00:53:39,Youth,Male,5,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,SUPER SPRINT YOUTH,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-1-130011,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
,53,SHAINA TRI DHIYA,DQ,Youth,Female,,Palembang Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,SUPER SPRINT YOUTH,http://results.scorenow.co.id/myresults.aspx?uid=19723-80-1-130009,http://results.scorenow.co.id/results.aspx?CId=19723&RId=80
