Pos,Race No,Name,Net Time,Category,Cat Pos,Gender,Gen Pos,Finished,race_name,race_large_logo,race_category,runner_id,race_link
82,1107,Santi Sairindri,02:46:13,All Ages,23,Female,23,00:27:44,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136680,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
83,1081,Andiva Satrio Rinaldi,02:46:53,All Ages,60,Male,60,00:27:32,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136654,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
84,1140,Daniel Aramsa A Riefa,02:47:05,All Ages,61,Male,61,00:27:50,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136713,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
85,1063,Rionaldo Qemal Pratama,02:50:13,All Ages,62,Male,62,00:33:46,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136636,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
86,1102,Novy Sriwardani,02:51:05,All Ages,24,Female,24,00:34:36,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136675,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
87,1009,Patricia Utami,02:51:31,All Ages,25,Female,25,00:28:49,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136582,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
88,1066,Yoseph Bartolomeus Soi,02:54:09,All Ages,63,Male,63,00:30:05,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136639,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
89,1112,Khamdan Mustofa Alkafi,02:54:25,All Ages,64,Male,64,00:31:24,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136685,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
90,1041,Tonny Hermawan,02:55:37,All Ages,65,Male,65,00:31:20,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136614,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
91,1018,Mirza Sofyanhadi Mashudi,02:56:02,All Ages,66,Male,66,00:31:33,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136591,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
92,1074,Agresius R Kadiaman,03:01:40,All Ages,67,Male,67,00:29:57,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136647,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
93,1058,Rudy Tanaga,03:03:00,All Ages,68,Male,68,00:37:31,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136631,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
94,1057,Halley Siboro,03:03:08,All Ages,69,Male,69,00:34:51,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136630,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
95,1047,Reza Widjaja,03:03:39,All Ages,70,Male,70,00:31:29,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136620,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
96,1052,Emil Bachtiar Moerad,03:03:41,All Ages,71,Male,71,00:31:45,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136625,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
97,1095,Johanes Aditya Talakua,03:05:12,All Ages,72,Male,72,00:41:57,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136668,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
98,1094,Ruby Alamsyah,03:12:03,All Ages,73,Male,73,00:31:13,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136667,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
99,1100,Indira Mahardhika Putri,03:15:52,All Ages,26,Female,26,00:37:32,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136673,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
100,1091,Achmad Sholikhudin Almuminin,03:17:17,All Ages,74,Male,74,00:34:14,Borobudur Marathon Bank Jateng Tilik Candi,http://results.scorenow.co.id/Images/Clients/19723.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-108-1-136664,http://results.scorenow.co.id/results.aspx?CId=19723&RId=108
