Pos,Race No,Name,Time,Net Time,Runner 1,Transition1,Runner 2,Transition2,Runner 3,Transition3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
201,268,MMKI 09,01:02:15,01:01:17,00:14:19,00:00:50,00:15:55,00:00:32,00:13:21,00:00:34,00:16:40,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9951,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
202,75,MITSUBISHI CORPORATION 10,01:02:21,01:01:13,00:17:57,00:00:45,00:11:35,00:00:35,00:15:09,00:00:36,00:15:42,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9758,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
203,186,YABUKI KAIUN,01:02:23,01:01:41,00:14:33,00:00:47,00:14:50,00:00:34,00:14:24,00:00:30,00:16:42,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9869,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
204,235,MARUBENI 4,01:02:30,01:01:52,00:11:10,00:00:33,00:16:43,00:00:43,00:18:18,00:00:26,00:14:32,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9918,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
205,331,KAWAI PIANOS 2,01:02:34,01:01:58,00:13:16,00:00:52,00:17:51,00:00:41,00:13:34,00:00:24,00:15:53,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10014,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
206,299,TEAM ITOCHU B,01:02:44,01:01:37,00:13:28,00:00:45,00:17:03,00:00:47,00:15:28,00:00:33,00:14:36,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9982,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
207,192,TMS 2,01:02:49,01:01:45,00:13:09,00:00:48,00:12:33,00:00:40,00:18:05,00:00:22,00:17:09,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9875,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
208,191,TMS 1,01:02:51,01:01:46,00:15:13,00:00:41,00:13:33,00:00:30,00:16:54,00:00:28,00:15:31,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9874,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
209,410,KOMPAS 03,01:02:54,01:02:06,00:18:30,00:00:50,00:16:01,00:00:37,00:15:10,00:00:33,00:11:11,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10093,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
210,392,BTMU 2,01:02:57,01:02:10,00:14:10,00:00:41,00:13:24,00:00:24,00:11:10,00:00:31,00:22:33,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10075,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
211,368,BB,01:03:00,01:02:08,00:11:36,00:00:38,00:18:52,00:00:43,00:11:23,00:00:29,00:19:15,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10051,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
212,315,ERIA1,01:03:04,01:01:58,00:13:36,00:00:48,00:17:58,00:00:34,00:10:27,00:00:28,00:19:10,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9998,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
213,127,TAISEI 2,01:03:11,01:02:10,00:11:41,00:00:33,00:15:11,00:00:36,00:19:07,00:00:30,00:15:29,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9810,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
214,391,BTMU 1,01:03:13,01:02:26,00:15:14,00:00:41,00:15:52,00:00:36,00:14:21,00:00:33,00:15:53,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10074,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
215,80,OSJ TEAM B,01:03:16,01:02:24,00:11:38,00:00:28,00:20:06,00:00:42,00:11:54,00:00:34,00:17:51,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9763,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
216,395,KAJIMA,01:03:19,01:02:44,00:18:55,00:00:41,00:13:50,00:00:35,00:16:26,00:00:29,00:12:20,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10078,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
217,377,JGC 03,01:03:33,01:02:44,00:13:39,00:00:42,00:16:49,00:00:36,00:16:17,00:00:35,00:14:52,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10060,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
218,111,SHIMIZU09,01:03:35,01:02:47,00:15:15,00:00:44,00:14:08,00:00:39,00:14:58,00:00:32,00:17:16,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9794,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
219,1,TEAM KIZUNA,01:03:40,01:03:40,00:12:47,00:00:44,00:16:25,00:00:48,00:15:36,00:00:45,00:16:33,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9684,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
220,382,HITACHI CAPITAL AAF TEAM B,01:03:41,01:02:59,00:13:06,00:00:50,00:11:49,00:00:30,00:18:53,00:00:29,00:18:00,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10065,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
221,393,FAIR CONSULTING 1,01:03:45,01:02:47,00:12:21,00:00:41,00:16:37,00:00:42,00:19:18,00:00:26,00:13:37,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10076,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
222,394,FAIR CONSULTING 2,01:03:47,01:03:02,00:13:26,00:01:06,00:13:04,00:00:40,00:14:12,00:00:39,00:20:37,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10077,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
223,44,TOKYU LAND HAKA 2,01:03:58,01:03:13,00:12:12,00:00:41,00:16:07,00:00:46,00:16:21,00:00:39,00:17:10,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9727,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
