Pos,Race No,Name,Time,Net Time,Runner 1,Transition1,Runner 2,Transition2,Runner 3,Transition3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
1,140,DENSO CHEETAH,00:35:17,00:35:14,00:08:24,00:00:21,00:09:41,00:00:25,00:08:11,00:00:18,00:07:53,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9823,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
2,136,TMMIN 1,00:35:37,00:35:37,00:08:36,00:00:22,00:09:14,00:00:23,00:08:24,00:00:21,00:08:13,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9819,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
3,141,DENSO PUMA,00:37:45,00:37:27,00:09:20,00:00:29,00:09:47,00:00:22,00:08:53,00:00:21,00:08:29,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9824,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
4,2,PANIN DAI ICHI LIFE 1,00:38:12,00:37:38,00:09:21,00:00:26,00:09:54,00:00:20,00:08:07,00:00:22,00:09:41,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9685,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
5,139,DENSO JAGUAR,00:38:52,00:38:52,00:08:53,00:00:47,00:10:12,00:00:25,00:09:01,00:00:23,00:09:09,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9822,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
6,398,SMP3 PLUS,00:39:00,00:38:24,00:10:25,00:00:26,00:08:37,00:00:22,00:09:27,00:00:23,00:09:17,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10081,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
7,27,SF08,00:39:35,00:38:59,00:09:31,00:00:24,00:09:44,00:00:21,00:09:17,00:00:23,00:09:52,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9710,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
8,189,HPPM A,00:40:08,00:39:33,00:09:37,00:00:29,00:09:18,00:00:27,00:10:18,00:00:21,00:09:34,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9872,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
9,137,TMMIN 2,00:40:28,00:40:28,00:09:15,00:00:23,00:11:52,00:00:29,00:08:49,00:00:24,00:09:12,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9820,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
10,333,HPM1,00:40:38,00:40:12,00:09:29,00:00:26,00:09:50,00:00:20,00:10:07,00:00:30,00:09:53,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10016,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
11,341,KAWAI PIANOS 4,00:41:13,00:40:38,00:09:57,00:00:30,00:09:48,00:00:28,00:09:58,00:00:23,00:10:06,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-10024,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
12,280,BSIN 03 2017,00:41:58,00:41:58,00:10:37,00:00:31,00:09:41,00:00:23,00:09:58,00:00:26,00:10:19,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9963,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
13,33,SF13,00:42:36,00:42:16,00:10:39,00:00:30,00:10:24,00:00:19,00:10:29,00:00:21,00:09:52,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9716,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
14,138,TAM,00:42:48,00:42:13,00:09:38,00:00:27,00:11:22,00:00:26,00:10:04,00:00:25,00:10:23,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/racelogo/19723/19723_12.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-12-1-9821,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12
