Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
1,132,JAUHARI JOHAN,02:11:57,Top 3 Overall Male,1,Male,1,Indonesia,00:26:26,01:03:42,00:38:00,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45748,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
2,104,ALHBERD,02:23:47,Top 3 Overall Male,2,Male,2,Indonesia,00:24:09,01:05:59,00:49:20,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45720,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
3,116,DEDI PRISTYOKO,02:25:20,Top 3 Overall Male,3,Male,3,Indonesia,00:27:14,01:06:34,00:47:23,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45732,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
4,311,ANDY LORDIANTO,02:28:41,C (MALE 32-37),1,Male,4,Indonesia,00:29:15,01:08:20,00:45:46,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45927,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
5,315,JUARATTA NMS,02:29:49,C (MALE 32-37),2,Male,5,Indonesia,00:33:21,01:07:43,00:43:41,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45931,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
6,291,INGE PRASETYO,02:30:23,Top 3 Overall Female,1,Female,1,Indonesia,00:27:52,01:10:32,00:46:36,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45907,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
7,314,FENDRO TUHEMA,02:31:16,A (MALE 16-31),1,Male,6,Indonesia,00:33:20,01:08:17,00:45:18,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45930,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
8,317,M RIDWAN,02:32:26,A (MALE 16-31),2,Male,7,Indonesia,00:33:17,01:08:15,00:46:30,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45933,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
9,316,FERRY ALVA,02:34:39,A (MALE 16-31),3,Male,8,Indonesia,00:33:18,01:07:41,00:48:34,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45932,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
10,189,AGUS WILLYAM,02:37:28,E (MALE 38-43),1,Male,9,Indonesia,00:34:40,01:03:28,00:51:50,Sungailiat Triathlon,https://images.racetec.net/results/racelogo/19723/19723_31.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-31-2-45805,http://results.scorenow.co.id/results.aspx?CId=19723&RId=31
